,alias,code,title,units,image_file,description
16,P_C_11_a,PAV-PRD1-MAT1-2-5-PAT3-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_11.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100, модуль раскладки
набран из двух типов элементов."
17,P_C_11_b,PAV-PRD1-MAT1-2-5-PAT3-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_11.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х100, модуль раскладки
набран из двух типов элементов."
18,P_C_12_a,PAV-PRD1-MAT1-2-PAT4-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_12.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200, модуль раскладки
набран из двух типов элементов."
19,P_C_12_b,PAV-PRD1-MAT1-2-PAT4-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_12.jpg,"Одноцветное мощение, светло-серая плитка, с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200, модуль раскладки
набран из двух типов элементов."
20,P_C_13_a,PAV-PRD1-MAT1-2-PAT4-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_13.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200 модуль раскладки
набран из двух типов элементов."
21,P_C_13_b,PAV-PRD1-MAT1-2-PAT4-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_13.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200 модуль раскладки
набран из двух типов элементов."
22,P_C_14_a,PAV-PRD1-MAT1-2-PAT5-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_14.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
23,P_C_14_b,PAV-PRD1-MAT1-2-PAT5-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_14.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
24,P_C_15_a,PAV-PRD1-MAT1-2-PAT5-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_15.jpg,"Одноцветное модульное темное мощение, черная плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
25,P_C_15_b,PAV-PRD1-MAT1-2-PAT5-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_15.jpg,"Одноцветное модульное темное мощение, черная плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
26,P_C_16_a,PAV-PRD1-MAT1-5-8-PAT6-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_16.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
27,P_C_16_b,PAV-PRD1-MAT1-5-8-PAT6-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_16.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
28,P_C_20_a,PAV-PRD1-MAT1-5-8-PAT6-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_20.jpg,"Одноцветное мощение, черная плитка с гладкой 
поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
