alias,code,title,units,image_file,description
P_C_13_a,PAV-PRD1-MAT1-2-PAT4-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_13.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200 модуль раскладки
набран из двух типов элементов."
P_C_13_b,PAV-PRD1-MAT1-2-PAT4-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_13.jpg,"Одноцветное мощение, черная плитка с гладкой и рифленой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х200 модуль раскладки
набран из двух типов элементов."
P_C_14_a,PAV-PRD1-MAT1-2-PAT5-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_14.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
P_C_14_b,PAV-PRD1-MAT1-2-PAT5-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_14.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
P_C_15_a,PAV-PRD1-MAT1-2-PAT5-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_15.jpg,"Одноцветное модульное темное мощение, черная плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
P_C_15_b,PAV-PRD1-MAT1-2-PAT5-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_15.jpg,"Одноцветное модульное темное мощение, черная плитка с
гладкой и рифленой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 600х200 и 600х300,
модуль раскладки набран из трех типов элементов."
P_C_16_a,PAV-PRD1-MAT1-5-8-PAT6-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_16.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_16_b,PAV-PRD1-MAT1-5-8-PAT6-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_16.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_20_a,PAV-PRD1-MAT1-5-8-PAT6-COL1-BST1,Плитка фибробетонная модульная,m2,P_C_20.jpg,"Одноцветное мощение, черная плитка с гладкой 
поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_20_b,PAV-PRD1-MAT1-5-8-PAT6-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_20.jpg,"Одноцветное мощение, черная плитка с гладкой 
поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_21_a,PAV-PRD1-MAT1-PAT7-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_21.jpg,"Одноцветное модульное мощение, светло-серая плитка
с гладкой поверхностью элементов, швы
минимальной толщины с засыпкой цпс, габариты элементов
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
P_C_21_b,PAV-PRD1-MAT1-PAT7-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_21.jpg,"Одноцветное модульное мощение, светло-серая плитка
с гладкой поверхностью элементов, швы
минимальной толщины с засыпкой цпс, габариты элементов
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
P_C_22_a,PAV-PRD1-MAT1-PAT8-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_22.jpg,"Одноцветное модульное мощение, светло-серая с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_22_b,PAV-PRD1-MAT1-PAT8-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_22.jpg,"Одноцветное модульное мощение, светло-серая с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_23_a,PAV-PRD1-MAT1-5-PAT9-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_23.jpg,"Одноцветное модульное мощение, светло-серая  плитка с
гладкой  поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
P_C_23_b,PAV-PRD1-MAT1-5-PAT9-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_23.jpg,"Одноцветное модульное мощение, светло-серая  плитка с
гладкой  поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
